arduino_ms,emg_raw,label
2,-13,good
4,-3,good
6,-24,good
8,-59,good
10,-8,good
12,8,good
14,-4,good
16,26,good
18,24,good
20,-36,good
22,-14,good
24,-76,good
26,-48,good
28,42,good
30,8,good
32,27,good
34,26,good
36,-2,good
38,4,good
40,-7,good
42,2,good
45,-4,good
47,4,good
49,-65,good
51,-43,good
53,55,good
55,34,good
57,-2,good
59,-16,good
61,-89,good
63,-53,good
65,65,good
67,-4,good
69,-76,good
71,30,good
73,6,good
75,54,good
77,30,good
79,2,good
81,7,good
83,-46,good
85,-45,good
88,15,good
90,24,good
92,-11,good
94,-115,good
96,-36,good
98,76,good
100,75,good
102,-14,good
104,14,good
106,-13,good
108,-21,good
110,26,good
112,8,good
114,5,good
116,-7,good
118,-15,good
120,-60,good
122,-43,good
124,18,good
126,-7,good
128,-52,good
130,-33,good
132,32,good
134,45,good
136,-22,good
138,-112,good
140,-38,good
142,21,good
144,45,good
146,18,good
148,33,good
150,-8,good
152,-6,good
154,27,good
156,12,good
158,-23,good
160,-66,good
162,-8,good
164,-42,good
166,-30,good
168,45,good
170,23,good
173,-18,good
175,-64,good
177,6,good
179,70,good
181,21,good
183,-9,good
185,12,good
187,-9,good
189,-16,good
191,-8,good
193,-7,good
195,-39,good
197,-52,good
199,3,good
201,-14,good
203,-8,good
205,11,good
207,3,good
209,-20,good
211,-82,good
213,31,good
216,107,good
218,36,good
220,-20,good
222,-36,good
224,-22,good
226,-20,good
228,-13,good
230,-42,good
232,11,good
234,23,good
236,21,good
238,8,good
240,-5,good
242,7,good
244,-29,good
246,1,good
248,15,good
250,9,good
252,-4,good
254,-21,good
256,-56,good
258,-55,good
260,-11,good
262,12,good
264,-92,good
266,18,good
268,82,good
270,-2,good
272,-43,good
274,25,good
276,30,good
278,-6,good
280,-17,good
282,-53,good
284,-22,good
286,36,good
288,12,good
290,-65,good
292,-14,good
294,-56,good
296,22,good
298,71,good
301,62,good
303,20,good
305,-24,good
307,-41,good
309,-35,good
311,-34,good
313,10,good
315,16,good
317,22,good
319,-26,good
321,-22,good
323,15,good
325,8,good
327,-52,good
329,-26,good
331,-8,good
333,-95,good
335,-5,good
337,25,good
339,52,good
341,52,good
344,31,good
346,-32,good
348,-14,good
350,2,good
352,18,good
354,11,good
356,-21,good
358,-40,good
360,-4,good
362,8,good
364,-4,good
366,-4,good
368,-35,good
370,-20,good
372,-20,good
374,11,good
376,-22,good
378,-1,good
380,9,good
382,18,good
384,18,good
386,6,good
388,-29,good
390,-47,good
392,4,good
394,28,good
396,20,good
398,1,good
400,-10,good
402,-12,good
404,-5,good
406,1,good
408,-8,good
410,-10,good
412,-17,good
414,-9,good
416,-3,good
418,-6,good
420,-12,good
422,-6,good
424,-4,good
426,-6,good
429,-13,good
431,-12,good
433,2,good
435,-4,good
437,-25,good
439,-23,good
441,5,good
443,15,good
445,21,good
447,4,good
449,-8,good
451,-16,good
453,-7,good
455,-11,good
457,-2,good
459,-17,good
461,-10,good
463,-3,good
465,-4,good
467,-8,good
469,-4,good
472,-19,good
474,-6,good
476,10,good
478,17,good
480,9,good
482,10,good
484,-2,good
486,-8,good
488,-9,good
490,-11,good
492,-14,good
494,-9,good
496,-7,good
498,-10,good
500,-13,good
502,-3,good
504,-5,good
506,-14,good
508,0,good
510,-1,good
512,-8,good
514,-18,good
516,-8,good
518,5,good
520,4,good
522,0,good
524,-2,good
526,-31,good
528,-24,good
530,11,good
532,19,good
534,2,good
536,-1,good
538,-17,good
