arduino_ms,emg_raw,label
2,-16,bad
4,-1,bad
6,134,bad
8,134,bad
10,-27,bad
12,-160,bad
15,-111,bad
17,-50,bad
19,-7,bad
21,28,bad
23,12,bad
25,8,bad
27,52,bad
29,23,bad
31,-36,bad
33,-48,bad
35,1,bad
37,16,bad
39,3,bad
41,-25,bad
43,-27,bad
45,17,bad
47,107,bad
49,102,bad
51,-60,bad
53,-147,bad
55,-113,bad
58,-30,bad
60,57,bad
62,89,bad
64,8,bad
66,-37,bad
68,-41,bad
70,-25,bad
72,1,bad
74,23,bad
76,61,bad
78,-2,bad
80,-73,bad
82,-72,bad
84,-52,bad
86,-10,bad
88,6,bad
90,32,bad
92,9,bad
94,4,bad
96,-17,bad
98,-18,bad
100,-11,bad
102,38,bad
104,-9,bad
106,-28,bad
108,-27,bad
110,14,bad
112,24,bad
114,20,bad
116,-26,bad
118,-19,bad
120,-11,bad
122,-9,bad
124,-17,bad
126,23,bad
128,47,bad
130,-16,bad
132,-47,bad
134,9,bad
136,11,bad
138,-31,bad
140,-46,bad
143,-32,bad
145,-16,bad
147,15,bad
149,27,bad
151,48,bad
153,-4,bad
155,-60,bad
157,-37,bad
159,41,bad
161,-3,bad
163,-53,bad
165,-69,bad
167,-13,bad
169,3,bad
171,49,bad
173,64,bad
175,-17,bad
177,50,bad
179,23,bad
181,-51,bad
183,-92,bad
186,-57,bad
188,-23,bad
190,-8,bad
192,8,bad
194,28,bad
196,27,bad
198,54,bad
200,7,bad
202,-7,bad
204,-37,bad
206,-64,bad
208,-49,bad
210,-13,bad
212,3,bad
214,11,bad
216,-1,bad
218,11,bad
220,15,bad
222,-22,bad
224,-13,bad
226,13,bad
228,61,bad
230,42,bad
232,-53,bad
234,-84,bad
236,-49,bad
238,-13,bad
240,9,bad
242,42,bad
244,49,bad
246,9,bad
248,-16,bad
250,-42,bad
252,-33,bad
254,-13,bad
256,65,bad
258,124,bad
260,8,bad
262,-115,bad
264,-123,bad
266,-63,bad
268,-14,bad
271,26,bad
273,16,bad
275,40,bad
277,17,bad
279,-24,bad
281,-55,bad
283,-37,bad
285,9,bad
287,36,bad
289,-9,bad
291,-32,bad
293,-15,bad
295,2,bad
297,6,bad
299,12,bad
301,58,bad
303,34,bad
305,-10,bad
307,-53,bad
309,-25,bad
311,11,bad
314,-21,bad
316,-45,bad
318,-46,bad
320,-13,bad
322,-8,bad
324,-4,bad
326,9,bad
328,-3,bad
330,-6,bad
332,16,bad
334,18,bad
336,-12,bad
338,-19,bad
340,-31,bad
342,-24,bad
344,-8,bad
346,4,bad
348,32,bad
350,53,bad
352,5,bad
354,-36,bad
356,-32,bad
358,-10,bad
360,-9,bad
362,-20,bad
364,-16,bad
366,19,bad
368,-9,bad
370,-32,bad
372,-34,bad
374,-13,bad
376,-4,bad
378,28,bad
380,26,bad
382,-5,bad
384,-40,bad
386,-33,bad
388,-17,bad
390,-6,bad
392,1,bad
394,17,bad
396,18,bad
399,-11,bad
401,-19,bad
403,-17,bad
405,-13,bad
407,-12,bad
409,-3,bad
411,2,bad
413,30,bad
415,160,bad
417,86,bad
419,-85,bad
421,-136,bad
423,-97,bad
425,-18,bad
427,-14,bad
429,-5,bad
431,0,bad
433,-10,bad
435,-17,bad
437,-13,bad
439,0,bad
442,5,bad
444,5,bad
446,-1,bad
448,-5,bad
450,14,bad
452,29,bad
454,-3,bad
456,-35,bad
458,-16,bad
460,80,bad
462,36,bad
464,-23,bad
466,-90,bad
468,-71,bad
470,-32,bad
472,-4,bad
474,3,bad
476,3,bad
478,1,bad
480,-1,bad
482,-2,bad
484,1,bad
486,24,bad
488,7,bad
490,-7,bad
492,-31,bad
494,-28,bad
496,4,bad
498,97,bad
500,43,bad
502,-44,bad
504,-99,bad
506,-49,bad
508,-11,bad
510,-3,bad
512,-4,bad
514,-7,bad
516,28,bad
518,26,bad
520,-6,bad
522,-26,bad
524,-23,bad
527,-12,bad
529,-3,bad
531,-7,bad
533,-1,bad
535,1,bad
537,24,bad
539,13,bad
541,4,bad
543,8,bad
545,-21,bad
547,-41,bad
549,-56,bad
551,-24,bad
553,2,bad
555,12,bad
557,3,bad
559,-9,bad
561,-13,bad
563,-6,bad
565,1,bad
567,2,bad
570,17,bad
572,-5,bad
574,-20,bad
576,-24,bad
578,-13,bad
580,0,bad
582,-1,bad
584,-5,bad
