arduino_ms,emg_raw,label
2,17,good
4,-12,good
6,-38,good
8,-39,good
10,-30,good
12,-8,good
14,10,good
16,21,good
18,15,good
21,-4,good
23,-35,good
25,-61,good
27,-56,good
29,-22,good
31,13,good
33,43,good
35,62,good
37,56,good
39,27,good
41,-4,good
43,-29,good
45,-44,good
47,-37,good
49,-14,good
51,-27,good
53,-25,good
55,-21,good
57,-11,good
59,0,good
61,13,good
63,13,good
65,-31,good
67,-23,good
69,-5,good
71,19,good
73,29,good
75,10,good
77,-18,good
79,-28,good
81,-48,good
83,-47,good
85,-28,good
87,12,good
89,38,good
91,64,good
93,58,good
95,23,good
97,1,good
99,-36,good
101,-46,good
103,-49,good
106,-27,good
108,13,good
110,36,good
112,22,good
114,2,good
116,-23,good
118,-51,good
120,-89,good
122,-92,good
124,-50,good
126,41,good
128,98,good
130,80,good
132,24,good
134,-28,good
136,-73,good
138,-72,good
140,-18,good
142,-20,good
144,-12,good
146,3,good
149,29,good
151,50,good
153,56,good
155,37,good
157,-21,good
159,-39,good
161,-34,good
163,-22,good
165,-1,good
167,27,good
169,23,good
171,-24,good
173,-39,good
175,-62,good
177,-31,good
179,29,good
181,47,good
183,19,good
185,-64,good
187,-56,good
189,-16,good
191,10,good
193,44,good
195,63,good
197,-5,good
199,-114,good
201,-94,good
203,-41,good
205,49,good
207,104,good
209,88,good
211,25,good
213,-28,good
215,-31,good
217,-28,good
219,-66,good
221,-69,good
223,-22,good
225,25,good
227,58,good
229,47,good
231,13,good
234,-40,good
236,-178,good
238,-124,good
240,-2,good
242,93,good
244,114,good
246,78,good
248,41,good
250,-15,good
252,-84,good
254,-113,good
256,-53,good
258,-5,good
260,48,good
262,64,good
264,27,good
266,-35,good
268,-35,good
270,-7,good
272,31,good
274,19,good
277,-55,good
279,-49,good
281,16,good
283,50,good
285,40,good
287,-59,good
289,-111,good
291,-118,good
293,-26,good
295,67,good
297,107,good
299,91,good
301,45,good
303,-7,good
305,-59,good
307,-32,good
309,7,good
311,15,good
313,6,good
315,-17,good
317,-28,good
319,-57,good
321,-156,good
323,-68,good
325,49,good
327,92,good
329,57,good
331,-12,good
333,-106,good
335,-69,good
337,-16,good
339,73,good
341,75,good
343,63,good
345,29,good
347,2,good
349,-17,good
351,-28,good
353,-33,good
355,-86,good
357,-103,good
359,-10,good
362,42,good
364,42,good
366,15,good
368,-43,good
370,-20,good
372,13,good
374,-25,good
376,-11,good
378,14,good
380,43,good
382,26,good
384,19,good
386,0,good
388,1,good
390,-43,good
392,-58,good
394,-51,good
396,-23,good
398,18,good
400,50,good
402,32,good
405,-3,good
407,-32,good
409,-18,good
411,-7,good
413,-4,good
415,-12,good
417,-13,good
419,-56,good
421,-34,good
423,-12,good
425,29,good
427,42,good
429,10,good
431,-35,good
433,-21,good
435,-18,good
437,-19,good
439,4,good
441,22,good
443,-9,good
445,-10,good
447,-28,good
449,-40,good
451,25,good
453,35,good
455,24,good
457,-1,good
459,-16,good
461,-24,good
463,-6,good
465,14,good
467,21,good
469,4,good
471,-47,good
473,-103,good
475,-37,good
477,46,good
479,49,good
481,18,good
483,0,good
485,4,good
487,-36,good
490,-57,good
492,-68,good
494,-5,good
496,44,good
498,51,good
500,13,good
502,-39,good
504,-33,good
506,0,good
508,21,good
510,25,good
512,-15,good
514,-32,good
516,-60,good
518,-51,good
520,22,good
522,54,good
524,34,good
526,7,good
528,-54,good
530,-37,good
533,-3,good
535,-4,good
537,0,good
539,3,good
541,-3,good
543,-6,good
545,5,good
547,-26,good
549,-40,good
551,4,good
553,27,good
555,23,good
557,-10,good
559,-90,good
561,-26,good
563,35,good
565,67,good
567,16,good
569,-24,good
571,-66,good
573,-48,good
575,-20,good
577,26,good
579,36,good
581,-14,good
583,-16,good
585,-7,good
587,3,good
589,19,good
591,9,good
593,-8,good
595,-17,good
597,-16,good
599,-12,good
601,-6,good
603,-20,good
605,-16,good
607,-2,good
609,12,good
611,11,good
613,-7,good
615,-10,good
618,-46,good
620,-29,good
622,6,good
624,14,good
626,-38,good
628,-49,good
630,11,good
632,53,good
634,38,good
636,-6,good
638,-47,good
640,-66,good
642,3,good
644,51,good
646,46,good
648,15,good
650,-11,good
652,-53,good
654,-66,good
656,-20,good
658,32,good
661,31,good
663,21,good
665,-1,good
667,-8,good
669,-18,good
671,-19,good
673,-23,good
675,-19,good
677,-31,good
679,-13,good
681,13,good
683,-1,good
685,-90,good
687,-27,good
689,35,good
691,62,good
693,36,good
695,3,good
697,-5,good
699,-8,good
701,-6,good
703,3,good
705,-4,good
707,-11,good
709,-14,good
711,-6,good
713,-1,good
715,-2,good
717,-10,good
719,-30,good
721,-31,good
723,-16,good
725,-10,good
727,-20,good
729,-8,good
731,9,good
733,28,good
735,20,good
737,3,good
739,-8,good
741,-8,good
743,-6,good
746,-10,good
748,-11,good
750,-9,good
752,-7,good
754,-10,good
756,-20,good
758,-40,good
760,-17,good
762,10,good
764,12,good
766,15,good
768,-7,good
770,-23,good
772,-8,good
774,7,good
776,10,good
778,1,good
780,-5,good
782,-9,good
784,-13,good
786,-13,good
789,-13,good
791,-8,good
793,-6,good
795,-6,good
797,-22,good
799,-29,good
801,-6,good
803,10,good
805,19,good
807,12,good
809,-2,good
811,-27,good
813,-34,good
815,-21,good
817,-2,good
819,19,good
821,23,good
823,9,good
825,-14,good
827,-12,good
829,-6,good
831,5,good
833,-1,good
835,-6,good
837,-9,good
839,-9,good
841,-8,good
843,-12,good
845,-18,good
847,-10,good
849,-7,good
851,-13,good
853,-3,good
855,0,good
857,-15,good
859,-52,good
861,-21,good
863,9,good
865,37,good
867,21,good
869,6,good
871,4,good
874,1,good
876,-3,good
878,-23,good
880,-33,good
882,-12,good
884,-7,good
886,1,good
888,6,good
890,2,good
892,-4,good
894,-14,good
896,-11,good
898,-1,good
900,-3,good
902,-4,good
904,-8,good
906,-11,good
908,-13,good
910,-15,good
912,-15,good
914,-6,good
917,0,good
919,-6,good
921,-4,good
923,0,good
925,0,good
927,-3,good
929,-14,good
931,-11,good
933,-7,good
935,-24,good
937,-17,good
939,0,good
941,2,good
943,1,good
945,-4,good
947,-4,good
949,-5,good
951,-4,good
953,2,good
955,4,good
957,1,good
959,8,good
961,-9,good
963,-11,good
965,-22,good
967,-40,good
969,-25,good
971,3,good
973,17,good
975,-4,good
977,10,good
979,12,good
981,4,good
983,-4,good
985,-5,good
987,-5,good
989,-7,good
991,-16,good
993,-26,good
995,-13,good
997,-6,good
999,-1,good
1002,-6,good
1004,-6,good
1006,-5,good
1008,-14,good
1010,-25,good
1012,-16,good
1014,-7,good
1016,-33,good
1018,-6,good
1020,16,good
1022,27,good
1024,16,good
1026,-9,good
1028,-18,good
1030,-10,good
1032,-3,good
1034,-1,good
1036,-8,good
1038,-5,good
1040,0,good
1042,-2,good
1045,-4,good
1047,-9,good
1049,-12,good
1051,-22,good
1053,-11,good
1055,-3,good
1057,0,good
1059,-3,good
1061,-15,good
1063,-24,good
1065,-17,good
1067,-6,good
1069,-6,good
1071,1,good
1073,10,good
1075,4,good
1077,-5,good
1079,-6,good
1081,-1,good
1083,-1,good
1085,-25,good
1087,-16,good
1089,-14,good
1091,-2,good
1093,9,good
1095,5,good
1097,5,good
1099,-2,good
1101,-7,good
1103,-6,good
1105,-5,good
1107,-6,good
1109,-8,good
1111,-29,good
1113,-56,good
1115,-17,good
1117,19,good
1119,37,good
1121,15,good
1123,-2,good
1125,-8,good
1127,-5,good
1130,-3,good
1132,1,good
1134,-1,good
1136,-13,good
1138,-53,good
1140,-76,good
1142,-25,good
1144,31,good
1146,52,good
1148,37,good
1150,12,good
1152,0,good
1154,-9,good
1156,-12,good
1158,-11,good
1160,-10,good
1162,-9,good
1164,-9,good
1166,-19,good
1168,-23,good
1170,-13,good
1173,-4,good
1175,0,good
1177,-3,good
1179,-4,good
1181,-7,good
1183,-10,good
1185,-6,good
1187,-5,good
