arduino_ms,emg_raw,label
2,24,bad
4,-24,bad
6,6,bad
8,72,bad
10,85,bad
12,-57,bad
14,-149,bad
16,-99,bad
18,24,bad
21,30,bad
23,44,bad
25,17,bad
27,-4,bad
29,-27,bad
31,-69,bad
33,-53,bad
35,8,bad
37,29,bad
39,17,bad
41,5,bad
43,41,bad
45,24,bad
47,-45,bad
49,-58,bad
51,-17,bad
53,8,bad
55,12,bad
57,12,bad
59,22,bad
61,6,bad
64,-18,bad
66,-68,bad
68,-24,bad
70,79,bad
72,16,bad
74,-53,bad
76,26,bad
78,-7,bad
80,-2,bad
82,41,bad
84,-47,bad
86,-60,bad
88,-21,bad
90,-43,bad
92,-19,bad
94,3,bad
96,16,bad
98,18,bad
100,12,bad
102,1,bad
104,1,bad
106,-21,bad
108,-28,bad
110,3,bad
112,34,bad
114,13,bad
116,-13,bad
118,-35,bad
120,-30,bad
122,-10,bad
124,103,bad
126,91,bad
128,-111,bad
130,-149,bad
132,-22,bad
134,33,bad
136,30,bad
138,-1,bad
140,-22,bad
142,-1,bad
144,-11,bad
146,-6,bad
149,6,bad
151,30,bad
153,-26,bad
155,-25,bad
157,33,bad
159,-4,bad
161,-23,bad
163,8,bad
165,-49,bad
167,-62,bad
169,7,bad
171,62,bad
173,56,bad
175,-22,bad
177,-40,bad
179,8,bad
181,-17,bad
183,29,bad
185,8,bad
187,-39,bad
189,-31,bad
192,-16,bad
194,6,bad
196,5,bad
198,15,bad
200,-9,bad
202,-38,bad
204,-17,bad
206,-23,bad
208,13,bad
210,18,bad
212,8,bad
214,5,bad
216,-14,bad
218,-55,bad
220,-16,bad
222,2,bad
224,23,bad
226,-13,bad
228,5,bad
230,1,bad
232,12,bad
234,6,bad
236,11,bad
238,-14,bad
240,1,bad
242,-42,bad
244,-40,bad
246,-11,bad
248,-11,bad
250,29,bad
252,8,bad
254,21,bad
256,-7,bad
258,-6,bad
260,-20,bad
262,-11,bad
264,-12,bad
266,10,bad
268,-2,bad
270,-11,bad
272,-13,bad
274,-7,bad
277,-3,bad
279,-7,bad
281,14,bad
283,-2,bad
285,-9,bad
287,-14,bad
289,-55,bad
291,-11,bad
293,-8,bad
295,37,bad
297,10,bad
299,11,bad
301,-14,bad
303,-25,bad
305,-1,bad
307,12,bad
309,9,bad
311,-15,bad
313,-3,bad
315,2,bad
317,-18,bad
320,-19,bad
322,-48,bad
324,-12,bad
326,-28,bad
328,-7,bad
330,17,bad
332,45,bad
334,35,bad
336,7,bad
338,-34,bad
340,-41,bad
342,-25,bad
344,18,bad
346,26,bad
348,-29,bad
350,-17,bad
352,-28,bad
354,-5,bad
356,9,bad
358,25,bad
360,10,bad
362,-6,bad
364,-46,bad
