arduino_ms,emg_raw,label
2,57,bad
4,83,bad
6,6,bad
8,-53,bad
10,-56,bad
12,-22,bad
14,52,bad
16,88,bad
18,-24,bad
20,-53,bad
22,-37,bad
24,-42,bad
26,-43,bad
28,44,bad
30,52,bad
32,84,bad
34,24,bad
36,-98,bad
38,-8,bad
40,-9,bad
42,-18,bad
44,-51,bad
46,-19,bad
48,-19,bad
50,-17,bad
52,8,bad
54,81,bad
56,14,bad
58,-37,bad
60,-47,bad
62,-22,bad
64,-2,bad
66,11,bad
68,10,bad
70,0,bad
72,-5,bad
74,7,bad
77,20,bad
79,3,bad
81,45,bad
83,-35,bad
85,-56,bad
87,-47,bad
89,-22,bad
91,7,bad
93,20,bad
95,28,bad
97,-3,bad
99,-14,bad
101,-15,bad
103,15,bad
105,-6,bad
107,-16,bad
109,-10,bad
111,-43,bad
113,7,bad
115,-17,bad
117,15,bad
120,3,bad
122,4,bad
124,0,bad
126,-16,bad
128,10,bad
130,6,bad
132,-8,bad
134,-18,bad
136,-10,bad
138,1,bad
140,0,bad
142,1,bad
144,6,bad
146,-12,bad
148,-15,bad
150,-5,bad
152,-11,bad
154,-10,bad
156,-4,bad
158,-10,bad
160,-12,bad
162,-6,bad
164,5,bad
166,0,bad
168,0,bad
170,-9,bad
172,-8,bad
174,-14,bad
176,-12,bad
178,0,bad
180,0,bad
182,1,bad
184,-6,bad
186,-4,bad
188,-18,bad
190,-29,bad
192,-21,bad
194,-7,bad
196,6,bad
198,12,bad
200,17,bad
202,14,bad
205,6,bad
207,-1,bad
209,-2,bad
211,-5,bad
213,-11,bad
215,-8,bad
217,-6,bad
219,-8,bad
221,-13,bad
223,-10,bad
225,-6,bad
227,-9,bad
229,-4,bad
231,-7,bad
233,-25,bad
235,-7,bad
237,2,bad
239,-2,bad
241,-25,bad
243,-45,bad
245,2,bad
248,26,bad
250,-34,bad
252,-4,bad
254,50,bad
256,23,bad
258,-3,bad
260,4,bad
262,-9,bad
264,-24,bad
266,-39,bad
268,-48,bad
270,3,bad
272,45,bad
274,50,bad
276,12,bad
278,0,bad
280,-34,bad
282,-91,bad
284,-101,bad
286,-35,bad
288,59,bad
290,74,bad
292,48,bad
294,89,bad
296,45,bad
298,-38,bad
300,-23,bad
302,-9,bad
304,-11,bad
306,-8,bad
308,-38,bad
310,-63,bad
312,-35,bad
314,20,bad
316,12,bad
318,13,bad
320,7,bad
322,-30,bad
324,-48,bad
326,4,bad
328,-6,bad
330,-3,bad
333,26,bad
335,-34,bad
337,-69,bad
339,-53,bad
341,27,bad
343,100,bad
345,83,bad
347,18,bad
349,-28,bad
351,-45,bad
353,0,bad
355,16,bad
357,11,bad
359,-4,bad
361,-10,bad
363,-15,bad
365,-26,bad
367,-113,bad
369,-39,bad
371,73,bad
373,48,bad
376,-15,bad
378,-25,bad
380,-16,bad
382,3,bad
384,-1,bad
386,-22,bad
388,-11,bad
390,-31,bad
392,-63,bad
394,-6,bad
396,24,bad
398,58,bad
400,30,bad
402,-10,bad
404,0,bad
406,17,bad
408,6,bad
410,-45,bad
412,-78,bad
414,6,bad
416,40,bad
418,19,bad
420,-27,bad
422,-25,bad
424,3,bad
426,12,bad
428,24,bad
430,26,bad
432,-32,bad
434,-54,bad
436,-49,bad
438,39,bad
440,54,bad
442,4,bad
444,-9,bad
446,-9,bad
448,-17,bad
450,-11,bad
452,-22,bad
454,-17,bad
456,18,bad
458,-6,bad
461,-55,bad
463,-35,bad
465,-5,bad
467,6,bad
469,24,bad
471,30,bad
473,10,bad
475,-31,bad
477,-43,bad
479,13,bad
481,33,bad
483,18,bad
485,-6,bad
487,-11,bad
489,-35,bad
491,-40,bad
493,-9,bad
495,15,bad
497,-4,bad
499,-23,bad
501,23,bad
504,-11,bad
506,-13,bad
508,7,bad
510,21,bad
512,2,bad
514,-19,bad
516,-36,bad
518,-45,bad
520,-77,bad
522,26,bad
524,66,bad
526,21,bad
528,12,bad
530,15,bad
532,-19,bad
534,-9,bad
536,-15,bad
538,-33,bad
540,-30,bad
542,1,bad
544,11,bad
546,-1,bad
548,-3,bad
550,-15,bad
552,-5,bad
554,0,bad
556,21,bad
558,2,bad
560,-17,bad
562,-2,bad
564,-1,bad
566,-8,bad
568,-10,bad
570,-2,bad
572,-5,bad
574,-28,bad
576,-25,bad
578,2,bad
580,1,bad
582,-24,bad
584,-10,bad
586,8,bad
589,-5,bad
