arduino_ms,emg_raw,label
2,-31,bad
4,-44,bad
6,-91,bad
8,-59,bad
10,-12,bad
12,-25,bad
14,41,bad
16,71,bad
18,50,bad
20,-5,bad
22,-22,bad
24,29,bad
27,-30,bad
29,-42,bad
31,57,bad
33,29,bad
35,-61,bad
37,-203,bad
39,-100,bad
41,35,bad
43,152,bad
45,60,bad
47,-22,bad
49,20,bad
51,11,bad
53,-30,bad
55,-66,bad
57,6,bad
59,-18,bad
61,-35,bad
63,14,bad
65,2,bad
67,33,bad
70,59,bad
72,-28,bad
74,-32,bad
76,19,bad
78,16,bad
80,-22,bad
82,-74,bad
84,-102,bad
86,-25,bad
88,63,bad
90,61,bad
92,29,bad
94,14,bad
96,-15,bad
98,-33,bad
100,-38,bad
102,-27,bad
104,-22,bad
106,-51,bad
108,-44,bad
110,0,bad
112,6,bad
114,-59,bad
116,-79,bad
118,25,bad
120,65,bad
122,49,bad
124,51,bad
126,25,bad
128,-43,bad
130,-52,bad
132,-38,bad
134,19,bad
136,-52,bad
138,-103,bad
140,24,bad
142,103,bad
144,74,bad
146,17,bad
148,-26,bad
150,-94,bad
152,-67,bad
155,14,bad
157,38,bad
159,29,bad
161,11,bad
163,15,bad
165,3,bad
167,-55,bad
169,-91,bad
171,-9,bad
173,78,bad
175,63,bad
177,0,bad
179,-13,bad
181,-16,bad
183,-41,bad
185,-38,bad
187,-85,bad
189,-22,bad
191,27,bad
193,35,bad
195,12,bad
198,1,bad
200,8,bad
202,-44,bad
204,-65,bad
206,-71,bad
208,76,bad
210,83,bad
212,0,bad
214,-46,bad
216,1,bad
218,-21,bad
220,-28,bad
222,39,bad
224,55,bad
226,33,bad
228,-35,bad
230,-77,bad
232,-8,bad
234,36,bad
236,17,bad
238,-2,bad
240,-8,bad
242,3,bad
244,-14,bad
246,-39,bad
248,-74,bad
250,-34,bad
252,-5,bad
254,-20,bad
256,-36,bad
258,45,bad
260,78,bad
262,46,bad
264,-7,bad
266,-11,bad
268,-13,bad
270,-16,bad
272,-18,bad
274,6,bad
276,13,bad
278,6,bad
280,-6,bad
283,-6,bad
285,-44,bad
287,-72,bad
289,-2,bad
291,32,bad
293,10,bad
295,-32,bad
297,-70,bad
299,0,bad
301,66,bad
303,37,bad
305,-1,bad
307,1,bad
309,-4,bad
311,-48,bad
313,-25,bad
315,17,bad
317,44,bad
319,37,bad
321,8,bad
323,-1,bad
326,-26,bad
328,-18,bad
330,-6,bad
332,-15,bad
334,-22,bad
336,-5,bad
338,-39,bad
340,-45,bad
342,-30,bad
344,-53,bad
346,35,bad
348,29,bad
350,38,bad
352,42,bad
354,22,bad
356,-29,bad
358,-15,bad
360,37,bad
362,39,bad
364,-24,bad
366,-16,bad
368,1,bad
370,8,bad
372,-4,bad
374,-10,bad
376,-68,bad
378,-92,bad
380,-22,bad
382,-5,bad
384,18,bad
386,56,bad
388,3,bad
390,-21,bad
392,19,bad
394,60,bad
396,34,bad
398,-12,bad
400,-14,bad
402,-25,bad
404,-24,bad
406,-12,bad
408,-19,bad
411,-30,bad
413,-15,bad
415,3,bad
417,-6,bad
419,-32,bad
421,-2,bad
423,33,bad
425,26,bad
427,0,bad
429,-6,bad
431,-10,bad
433,-16,bad
435,-31,bad
437,-34,bad
439,-5,bad
441,-16,bad
443,-63,bad
445,-35,bad
447,22,bad
449,46,bad
451,42,bad
454,-43,bad
456,-112,bad
458,12,bad
460,84,bad
462,76,bad
464,-8,bad
466,-7,bad
468,27,bad
470,-11,bad
472,-33,bad
474,-16,bad
476,-5,bad
478,8,bad
480,11,bad
482,-11,bad
484,-23,bad
486,-15,bad
488,-5,bad
490,-6,bad
492,-26,bad
494,-12,bad
496,1,bad
498,12,bad
500,5,bad
502,-14,bad
504,-71,bad
506,-110,bad
508,-80,bad
510,4,bad
512,66,bad
514,93,bad
516,71,bad
518,-4,bad
520,-38,bad
522,-63,bad
524,-38,bad
526,-5,bad
528,43,bad
530,67,bad
532,-33,bad
534,-59,bad
536,8,bad
539,12,bad
541,16,bad
543,37,bad
545,37,bad
547,-23,bad
549,-11,bad
551,9,bad
553,-16,bad
555,-34,bad
557,-50,bad
559,-41,bad
561,-5,bad
563,14,bad
565,14,bad
567,12,bad
569,8,bad
571,-33,bad
573,-64,bad
575,-95,bad
577,-44,bad
579,64,bad
582,58,bad
584,37,bad
586,20,bad
588,0,bad
590,9,bad
592,1,bad
594,9,bad
596,-7,bad
598,-15,bad
600,-24,bad
602,-69,bad
604,-48,bad
606,10,bad
608,24,bad
610,4,bad
612,-20,bad
614,-17,bad
616,3,bad
618,-5,bad
620,11,bad
622,24,bad
624,18,bad
626,20,bad
628,-16,bad
630,-36,bad
632,3,bad
634,26,bad
636,25,bad
638,8,bad
640,6,bad
642,-3,bad
644,-9,bad
646,-12,bad
648,-11,bad
650,-10,bad
652,-11,bad
654,-10,bad
656,-8,bad
658,-7,bad
660,-7,bad
662,-5,bad
664,-5,bad
667,-6,bad
669,-5,bad
671,-5,bad
673,-4,bad
675,-4,bad
677,-3,bad
