arduino_ms,emg_raw,label
2,18,good
4,23,good
6,-43,good
8,-15,good
10,40,good
12,59,good
14,35,good
16,4,good
18,-21,good
20,-61,good
22,-75,good
24,-28,good
26,21,good
28,49,good
30,34,good
32,5,good
34,-46,good
36,-24,good
38,-3,good
40,-23,good
42,6,good
44,29,good
46,17,good
48,-55,good
50,-135,good
52,-36,good
54,54,good
56,102,good
58,66,good
60,-21,good
62,-75,good
64,-15,good
66,45,good
68,40,good
70,8,good
73,-11,good
75,-19,good
77,-22,good
79,-21,good
81,-15,good
83,-8,good
85,-18,good
87,-25,good
89,-35,good
91,-6,good
93,-3,good
95,-11,good
97,-37,good
99,-8,good
101,25,good
103,29,good
105,-31,good
107,-36,good
109,12,good
111,51,good
113,19,good
116,3,good
118,-10,good
120,-16,good
122,-44,good
124,-30,good
126,0,good
128,14,good
130,-57,good
132,-42,good
134,29,good
136,61,good
138,27,good
140,-6,good
142,-18,good
144,-11,good
146,0,good
148,-16,good
150,-17,good
152,-11,good
154,0,good
156,0,good
158,-5,good
160,-52,good
162,-19,good
164,9,good
166,16,good
168,13,good
170,6,good
172,-22,good
174,-50,good
176,-9,good
178,24,good
180,18,good
182,12,good
184,-3,good
186,-57,good
188,-29,good
190,2,good
192,23,good
194,13,good
196,17,good
198,-24,good
201,-82,good
203,-27,good
205,27,good
207,32,good
209,5,good
211,3,good
213,-8,good
215,-45,good
217,-7,good
219,7,good
221,15,good
223,12,good
225,8,good
227,3,good
229,-4,good
231,-4,good
233,-48,good
235,-63,good
237,2,good
239,51,good
241,26,good
244,2,good
246,-7,good
248,-12,good
250,-32,good
252,-17,good
254,4,good
256,1,good
258,1,good
260,2,good
262,-13,good
264,-9,good
266,-36,good
268,-43,good
270,-21,good
272,12,good
274,35,good
276,9,good
278,-30,good
280,-41,good
282,10,good
284,39,good
286,32,good
288,9,good
290,1,good
292,-6,good
294,-24,good
296,-21,good
298,-8,good
300,11,good
302,-1,good
304,-6,good
306,-22,good
308,-9,good
310,2,good
312,-15,good
314,-6,good
316,1,good
318,-8,good
320,-64,good
322,-72,good
324,18,good
326,66,good
329,14,good
331,-16,good
333,1,good
335,24,good
337,6,good
339,-9,good
341,-14,good
343,-8,good
345,-6,good
347,-7,good
349,-11,good
351,-13,good
353,-12,good
355,2,good
357,-3,good
359,-21,good
361,-19,good
363,0,good
365,8,good
