arduino_ms,emg_raw,label
2,-38,good
4,62,good
6,70,good
8,-14,good
10,-3,good
12,17,good
14,-17,good
16,-98,good
18,14,good
20,53,good
22,-17,good
25,-36,good
27,-23,good
29,-45,good
31,-18,good
33,21,good
35,47,good
37,49,good
39,-79,good
41,-91,good
43,41,good
45,70,good
47,64,good
49,13,good
51,-44,good
53,-82,good
55,-60,good
57,-7,good
59,9,good
61,51,good
63,-56,good
65,-67,good
67,-33,good
69,80,good
71,-23,good
73,-8,good
75,99,good
77,57,good
79,-2,good
81,-29,good
83,-31,good
85,-101,good
87,-35,good
89,-5,good
91,-37,good
93,-32,good
95,23,good
97,87,good
99,23,good
101,22,good
103,14,good
105,-71,good
107,-57,good
110,-6,good
112,3,good
114,-5,good
116,56,good
118,24,good
120,-1,good
122,-4,good
124,-11,good
126,-36,good
128,-66,good
130,-19,good
132,7,good
134,33,good
136,-5,good
138,-58,good
140,-4,good
142,13,good
144,-2,good
146,-6,good
148,18,good
150,-6,good
153,-53,good
155,-50,good
157,46,good
159,67,good
161,-34,good
163,-91,good
165,-5,good
167,-3,good
169,8,good
171,79,good
173,60,good
175,1,good
177,-42,good
179,-102,good
181,-40,good
183,55,good
185,54,good
187,14,good
189,-2,good
191,-100,good
193,-95,good
195,-20,good
197,99,good
199,75,good
201,-27,good
203,-46,good
205,-100,good
207,-63,good
209,93,good
211,76,good
213,-29,good
215,-114,good
217,71,good
219,61,good
221,-7,good
223,-6,good
225,-49,good
227,28,good
229,19,good
231,-49,good
233,-79,good
235,-50,good
238,78,good
240,82,good
242,25,good
244,-12,good
246,-35,good
248,-65,good
250,-30,good
252,2,good
254,-32,good
256,33,good
258,25,good
260,-12,good
262,0,good
264,-46,good
266,-136,good
268,31,good
270,68,good
272,-3,good
274,35,good
276,35,good
278,32,good
281,-1,good
283,-1,good
285,-39,good
287,-36,good
289,-3,good
291,2,good
293,-84,good
295,-66,good
297,35,good
299,89,good
301,49,good
303,6,good
305,-99,good
307,-94,good
309,13,good
311,28,good
313,-52,good
315,3,good
317,105,good
319,54,good
321,-53,good
323,-41,good
325,7,good
327,-27,good
329,-36,good
331,-6,good
333,43,good
335,36,good
337,-39,good
339,-36,good
341,-5,good
343,-47,good
345,-45,good
347,31,good
349,13,good
351,-10,good
353,39,good
355,-32,good
357,-50,good
359,38,good
361,26,good
363,-8,good
366,16,good
368,21,good
370,-105,good
372,-31,good
374,60,good
376,34,good
378,16,good
380,-4,good
382,-22,good
384,-14,good
386,1,good
388,-16,good
390,-45,good
392,-192,good
394,17,good
396,127,good
398,89,good
400,35,good
402,-1,good
404,-25,good
406,-17,good
409,-13,good
411,-17,good
413,-10,good
415,-6,good
417,-10,good
419,-11,good
421,-11,good
423,-16,good
425,-14,good
427,-2,good
429,-3,good
431,-7,good
433,-6,good
435,-6,good
437,-5,good
439,-6,good
441,-6,good
443,-5,good
445,-6,good
447,-6,good
449,-5,good
451,-5,good
453,-5,good
455,-5,good
457,-4,good
459,-4,good
461,-5,good
463,-6,good
465,-5,good
467,-4,good
469,-4,good
471,-5,good
473,-4,good
475,-5,good
477,-6,good
479,-6,good
481,-5,good
483,-6,good
485,-5,good
487,-6,good
489,-6,good
491,-6,good
494,-6,good
496,-5,good
498,-4,good
500,-5,good
502,-4,good
504,-3,good
506,-3,good
508,-3,good
510,-4,good
512,-3,good
514,-2,good
516,-2,good
518,-2,good
520,-1,good
522,0,good
524,-1,good
526,-1,good
528,0,good
530,-1,good
532,0,good
534,0,good
537,0,good
539,0,good
541,0,good
543,0,good
545,1,good
547,1,good
549,0,good
551,0,good
553,0,good
555,0,good
557,1,good
559,0,good
561,0,good
563,1,good
565,-1,good
567,-1,good
569,0,good
571,1,good
573,-1,good
575,0,good
577,0,good
579,0,good
581,1,good
583,0,good
585,0,good
587,-1,good
589,0,good
591,-1,good
593,1,good
595,-2,good
597,0,good
599,4,good
601,-1,good
603,-4,good
605,0,good
607,5,good
609,5,good
611,1,good
613,2,good
615,1,good
617,2,good
619,0,good
622,-4,good
624,-5,good
626,-2,good
628,-3,good
630,-3,good
632,-4,good
634,0,good
636,4,good
638,6,good
640,4,good
642,2,good
644,1,good
646,2,good
648,0,good
650,-1,good
652,-2,good
654,-2,good
656,-1,good
658,1,good
660,0,good
662,-3,good
665,-4,good
667,-5,good
669,-3,good
671,-3,good
673,3,good
675,4,good
677,1,good
679,-1,good
681,0,good
683,2,good
685,0,good
687,1,good
689,1,good
691,-6,good
693,-2,good
695,-2,good
697,2,good
699,2,good
701,6,good
703,4,good
705,-7,good
707,-9,good
709,-2,good
711,2,good
713,4,good
715,7,good
717,4,good
719,2,good
721,1,good
723,0,good
725,-1,good
727,1,good
729,0,good
731,-5,good
733,-7,good
735,0,good
737,2,good
739,3,good
741,4,good
743,1,good
745,-1,good
747,-1,good
750,-2,good
752,5,good
754,6,good
756,-11,good
758,-8,good
760,1,good
762,2,good
764,-4,good
766,-3,good
768,0,good
770,3,good
772,3,good
774,4,good
776,4,good
778,20,good
780,4,good
782,-21,good
784,-18,good
786,-3,good
788,0,good
790,0,good
793,1,good
795,4,good
797,-1,good
799,-4,good
801,0,good
803,0,good
805,-1,good
807,1,good
809,-1,good
811,-1,good
813,0,good
815,-1,good
817,-1,good
819,8,good
821,3,good
823,-5,good
825,-9,good
827,-5,good
829,-1,good
831,2,good
833,2,good
835,1,good
837,2,good
839,5,good
841,-6,good
843,-7,good
845,-3,good
847,2,good
849,4,good
851,3,good
853,13,good
855,9,good
857,-3,good
859,-10,good
861,-5,good
863,-3,good
865,-2,good
867,0,good
869,0,good
871,6,good
873,11,good
875,-1,good
878,-7,good
880,-7,good
882,-4,good
884,-1,good
886,1,good
888,0,good
890,1,good
892,0,good
894,1,good
896,3,good
898,1,good
900,18,good
902,6,good
904,-9,good
906,-14,good
908,-7,good
910,-4,good
912,2,good
914,2,good
916,0,good
