arduino_ms,emg_raw,label
2,17,bad
4,31,bad
6,26,bad
8,-33,bad
10,-51,bad
12,-1,bad
14,28,bad
16,13,bad
18,-8,bad
20,-17,bad
22,-12,bad
24,24,bad
26,34,bad
28,44,bad
30,20,bad
32,-44,bad
34,-30,bad
36,-78,bad
38,-45,bad
40,67,bad
42,85,bad
44,-4,bad
46,-42,bad
48,-51,bad
50,-55,bad
52,-15,bad
54,19,bad
56,44,bad
58,19,bad
60,-28,bad
62,-23,bad
64,30,bad
66,17,bad
68,-41,bad
70,-32,bad
73,-23,bad
75,-2,bad
77,29,bad
79,3,bad
81,-9,bad
83,5,bad
85,-1,bad
87,-7,bad
89,0,bad
91,0,bad
93,-17,bad
95,-17,bad
97,22,bad
99,47,bad
101,-69,bad
103,-47,bad
105,-9,bad
107,59,bad
109,0,bad
111,-73,bad
113,-29,bad
116,10,bad
118,37,bad
120,10,bad
122,-17,bad
124,-16,bad
126,-31,bad
128,-2,bad
130,-9,bad
132,-18,bad
134,6,bad
136,27,bad
138,29,bad
140,-13,bad
142,4,bad
144,17,bad
146,-22,bad
148,-29,bad
150,-44,bad
152,-13,bad
154,1,bad
156,22,bad
158,31,bad
160,26,bad
162,-64,bad
164,-48,bad
166,-14,bad
168,4,bad
170,15,bad
172,19,bad
174,12,bad
176,2,bad
178,-2,bad
180,-26,bad
182,-6,bad
184,-10,bad
186,3,bad
188,-8,bad
190,7,bad
192,-29,bad
194,1,bad
196,3,bad
198,-13,bad
201,-35,bad
203,-10,bad
205,7,bad
207,13,bad
209,8,bad
211,-9,bad
213,10,bad
215,-20,bad
217,-19,bad
219,10,bad
221,-6,bad
223,11,bad
225,-13,bad
227,-8,bad
229,-22,bad
231,-2,bad
233,-20,bad
235,6,bad
237,-21,bad
239,-11,bad
241,-26,bad
244,-14,bad
246,33,bad
248,20,bad
250,10,bad
252,6,bad
254,17,bad
256,-5,bad
258,-11,bad
260,-28,bad
262,-25,bad
264,-5,bad
266,0,bad
268,5,bad
270,4,bad
272,-15,bad
274,-4,bad
276,-5,bad
278,-2,bad
280,1,bad
282,-45,bad
284,-41,bad
286,-36,bad
288,11,bad
290,22,bad
292,1,bad
294,-76,bad
296,-26,bad
298,10,bad
300,63,bad
302,27,bad
304,11,bad
306,-26,bad
308,-32,bad
310,-12,bad
312,23,bad
314,15,bad
316,-25,bad
318,-9,bad
320,-32,bad
322,6,bad
324,12,bad
326,21,bad
329,-11,bad
331,-22,bad
333,-30,bad
335,-12,bad
337,-36,bad
339,12,bad
341,30,bad
343,33,bad
345,25,bad
347,-12,bad
349,-20,bad
351,-16,bad
353,-13,bad
355,-23,bad
357,-40,bad
359,-72,bad
361,-22,bad
363,16,bad
365,58,bad
367,52,bad
369,-14,bad
372,-41,bad
374,-12,bad
376,-8,bad
378,-31,bad
380,11,bad
382,-8,bad
384,21,bad
386,-5,bad
388,-20,bad
390,18,bad
392,12,bad
394,-3,bad
396,7,bad
398,15,bad
400,5,bad
402,-10,bad
404,-38,bad
406,-23,bad
408,-13,bad
410,-53,bad
412,-44,bad
414,-20,bad
416,19,bad
418,25,bad
420,33,bad
422,9,bad
424,7,bad
426,-24,bad
428,-7,bad
430,-9,bad
432,-11,bad
434,-30,bad
436,-31,bad
438,23,bad
440,40,bad
442,-13,bad
444,7,bad
446,11,bad
448,-7,bad
450,-26,bad
452,-16,bad
454,-23,bad
457,-40,bad
459,-90,bad
461,-39,bad
463,46,bad
465,63,bad
467,24,bad
469,28,bad
471,29,bad
473,11,bad
475,-13,bad
477,-25,bad
479,-16,bad
481,-48,bad
483,-11,bad
485,41,bad
487,-14,bad
489,-42,bad
491,-12,bad
493,-26,bad
495,5,bad
497,10,bad
500,-7,bad
502,-13,bad
504,-38,bad
506,12,bad
508,63,bad
510,24,bad
512,-26,bad
514,-60,bad
516,-4,bad
518,3,bad
520,33,bad
522,8,bad
524,-22,bad
526,-64,bad
528,2,bad
530,20,bad
532,-9,bad
534,9,bad
536,-41,bad
