arduino_ms,emg_raw,label
2,-5,good
4,-36,good
6,-34,good
8,-21,good
10,-22,good
12,14,good
14,-5,good
16,-86,good
19,-23,good
21,38,good
23,71,good
25,32,good
27,8,good
29,-15,good
31,-33,good
33,-55,good
35,-31,good
37,2,good
39,-1,good
41,6,good
43,-21,good
45,8,good
47,31,good
49,26,good
51,0,good
53,-74,good
55,-58,good
57,-5,good
59,54,good
61,53,good
63,43,good
65,-29,good
67,-26,good
69,5,good
71,6,good
73,2,good
75,-26,good
77,-67,good
79,-50,good
81,5,good
83,52,good
85,33,good
87,-31,good
89,-17,good
91,4,good
93,12,good
95,-6,good
97,-5,good
99,-21,good
101,-17,good
104,-55,good
106,-57,good
108,-69,good
110,2,good
112,72,good
114,86,good
116,31,good
118,-38,good
120,-25,good
122,4,good
124,18,good
126,8,good
128,-59,good
130,-67,good
132,-27,good
134,27,good
136,32,good
138,-11,good
140,9,good
142,26,good
144,20,good
147,-13,good
149,-26,good
151,-23,good
153,-33,good
155,-9,good
157,14,good
159,18,good
161,-14,good
163,-91,good
165,-50,good
167,4,good
169,79,good
171,65,good
173,7,good
175,-17,good
177,-34,good
179,-25,good
181,-15,good
183,0,good
185,14,good
187,4,good
189,2,good
191,-12,good
193,-39,good
195,-65,good
197,-25,good
199,20,good
201,38,good
203,31,good
205,-4,good
207,-52,good
209,-57,good
211,3,good
213,48,good
215,35,good
217,10,good
219,-16,good
221,-5,good
223,3,good
225,-30,good
227,-13,good
229,-20,good
232,-12,good
234,-7,good
236,-5,good
238,3,good
240,-13,good
242,-7,good
244,-5,good
246,-1,good
248,3,good
250,-7,good
252,-9,good
254,-17,good
256,-18,good
258,2,good
260,13,good
262,1,good
264,-14,good
266,-17,good
268,-6,good
270,11,good
272,-24,good
275,-40,good
277,-48,good
279,-18,good
281,-43,good
283,28,good
285,65,good
287,56,good
289,14,good
291,-11,good
293,-14,good
295,-9,good
297,-5,good
299,-6,good
301,-9,good
303,-13,good
305,-11,good
307,-19,good
309,-14,good
311,-14,good
313,-1,good
315,-6,good
317,-5,good
319,-7,good
321,-4,good
323,-19,good
325,-25,good
327,2,good
329,17,good
331,8,good
333,0,good
335,-17,good
337,-27,good
339,-5,good
341,4,good
343,3,good
345,-3,good
347,0,good
349,-15,good
351,-29,good
353,-11,good
355,19,good
357,14,good
360,-10,good
362,-4,good
364,-12,good
366,-15,good
368,-27,good
370,0,good
