arduino_ms,emg_raw,label
2,69,bad
4,121,bad
6,12,bad
8,-94,bad
10,-93,bad
12,-31,bad
14,28,bad
16,31,bad
18,17,bad
20,-36,bad
22,2,bad
24,-2,bad
26,-9,bad
28,-13,bad
30,-10,bad
32,6,bad
34,-21,bad
36,17,bad
39,108,bad
41,31,bad
43,-77,bad
45,-98,bad
47,-65,bad
49,-21,bad
51,-3,bad
53,45,bad
55,135,bad
57,32,bad
59,-83,bad
61,-110,bad
63,-52,bad
65,-23,bad
67,37,bad
69,204,bad
71,140,bad
73,-28,bad
75,-195,bad
77,-130,bad
79,-57,bad
81,3,bad
83,42,bad
85,-6,bad
87,-37,bad
89,-23,bad
91,-10,bad
93,35,bad
95,134,bad
97,109,bad
99,-57,bad
101,-112,bad
103,-93,bad
105,22,bad
107,66,bad
109,56,bad
111,-79,bad
113,-91,bad
115,-52,bad
117,13,bad
119,82,bad
121,104,bad
124,-14,bad
126,-62,bad
128,-61,bad
130,38,bad
132,135,bad
134,25,bad
136,-145,bad
138,-159,bad
140,-68,bad
142,22,bad
144,127,bad
146,102,bad
148,-2,bad
150,-98,bad
152,-99,bad
154,-32,bad
156,13,bad
158,165,bad
160,56,bad
162,-88,bad
164,-125,bad
167,-57,bad
169,14,bad
171,80,bad
173,90,bad
175,52,bad
177,-46,bad
179,-111,bad
181,-91,bad
183,-32,bad
185,6,bad
187,23,bad
189,67,bad
191,6,bad
193,-35,bad
195,-26,bad
197,-11,bad
199,-8,bad
201,-8,bad
203,62,bad
205,9,bad
207,-31,bad
209,-34,bad
211,15,bad
213,63,bad
215,-32,bad
217,-101,bad
219,-78,bad
221,-15,bad
223,24,bad
225,63,bad
227,36,bad
229,-36,bad
231,-46,bad
233,-2,bad
235,35,bad
237,1,bad
239,-26,bad
241,-26,bad
243,-8,bad
245,-8,bad
247,-25,bad
249,-17,bad
252,7,bad
254,51,bad
256,35,bad
258,-38,bad
260,-60,bad
262,-40,bad
264,-18,bad
266,-5,bad
268,2,bad
270,14,bad
272,30,bad
274,-3,bad
276,-10,bad
278,-24,bad
280,-13,bad
282,-5,bad
284,-4,bad
286,11,bad
288,38,bad
290,9,bad
292,-24,bad
295,6,bad
297,-1,bad
299,-28,bad
301,-58,bad
303,-32,bad
305,-12,bad
307,-7,bad
309,-1,bad
311,21,bad
313,22,bad
315,-3,bad
317,-24,bad
319,-15,bad
321,-12,bad
323,-2,bad
